SDSS_ID continuum continuum_lines powerlaw_exp powerlaw_norm
0397-51794-0479 7.923007756585607e-13 8.418947332665541e-13 -1.860681340187329 32052890.702112045
0396-51816-0207 1.0603364884738286e-12 1.1206830985162759e-12 -1.4482590758296199 1806451.0961268777
0397-51794-0089 7.950633898624638e-13 8.840476923190734e-13 -1.34747111269813 619830.6991795273
0398-51789-0166 1.0033516291641887e-12 1.0373777343301509e-12 -1.9631297877261913 88488913.08780992
0396-51816-0639 4.1132210478467495e-13 4.333196222152471e-13 -1.6773982204973465 4097200.4750943026
0397-51794-0277 6.531726968324876e-13 6.883358985157831e-13 -1.4290185754024736 958742.039298441
0396-51816-0526 7.160028646103175e-13 7.491839623933566e-13 -1.8881685642215433 35712732.7299087
0398-51789-0352 5.973020365622811e-13 6.390423337198333e-13 -1.1337489873625788 87822.90027775243
0378-52146-0529 3.7340490594646037e-13 3.936631958998414e-13 -1.1647828904156183 70012.38812083782
0675-52590-0122 8.73953786753296e-13 9.780544158413864e-13 -1.3750338607572095 843997.5615534945
0378-52146-0051 3.561095930138998e-12 3.627158666106932e-12 -1.6091877747557395 21003751.330308203
0378-52146-0055 1.4468766454923682e-12 1.5029529583975433e-12 -1.6034388658538405 8164615.555278463
0378-52146-0343 5.175119486664025e-13 5.354067727307649e-13 -0.8646430922500745 9125.922691919595
0378-52146-0350 8.059442409847844e-13 8.454246696763689e-13 -1.4882955128150006 1871456.5524087062
0378-52146-0426 3.9378171459552833e-13 4.1478889022192066e-13 -1.4170835181417902 526944.9472474299
0379-51789-0042 5.327140045904871e-13 5.54716356952808e-13 -0.7685294295373748 4380.1252608457735
0377-52145-0063 1.0574094347980966e-12 1.112044029008208e-12 -1.7821736740571688 23496664.233853444
0380-51792-0204 1.3279365116520741e-12 1.372428972758977e-12 -1.639982452915718 9924614.045229305
1901-53261-0148 6.993524736176272e-13 7.350532532326728e-13 -0.92711473596051 20218.803037422324
0675-52590-0554 2.7368385022164032e-12 2.8808574628902976e-12 -1.4541542790855226 4880320.682940532
0378-52146-0630 4.807808044924161e-13 5.022813000207811e-13 -1.1610567573546817 87553.2310310952
0377-52145-0596 8.160658177689494e-13 8.532919337220806e-13 -1.5697628490564868 3553217.319600167
0378-52146-0085 1.0116959623672233e-12 1.0646297433318611e-12 -0.9971399472557041 50832.01772855886
0380-51792-0435 6.716769859626645e-13 7.30724753033528e-13 -1.6170749107821598 4209400.5527336085
0379-51789-0558 5.399976246223202e-13 5.653313924710431e-13 -1.6540287621418062 4495609.60954316
0377-52145-0588 6.73966402731098e-13 7.129641598124286e-13 -1.209708672987303 179574.02222093716
0378-52146-0111 1.3067846168321141e-12 1.378540072061209e-12 -1.5657022378061822 5514582.590188358
0675-52590-0571 1.1500895807895241e-12 1.219687805591244e-12 -0.6950339364259946 5266.149445989973
0380-51792-0370 6.702214996202658e-13 7.04042489559975e-13 -1.2675396477434862 280458.4834264034
0379-51789-0349 4.84058284048219e-13 5.074222646175759e-13 -0.37990701871902904 176.78342496306638
0379-51789-0444 5.399685021943235e-13 5.740601116885262e-13 -1.1234342044721937 73225.26509397996
0676-52178-0140 3.7253443819641506e-13 3.950654051405483e-13 -1.153161689220687 63773.45679887953
0378-52146-0067 4.1985682339110147e-13 4.415839832212941e-13 -0.9313110880069265 12547.680507386865
0677-52606-0276 3.0911548375411514e-13 3.309535895478328e-13 -1.149277794528121 51331.25099551583
0380-51792-0280 3.169080727716464e-13 3.310497613717344e-13 -1.2374550273962304 104870.73548148951
0380-51792-0414 2.6146022994928697e-13 2.753167067049392e-13 -1.3615864179249357 227460.95221517366
0378-52146-0182 7.823947877152861e-13 8.532047925531997e-13 -1.1469895486952741 127615.02076329722
0379-51789-0607 7.546865270924271e-13 8.054894862308355e-13 -1.641562090022978 5709184.109481799
0379-51789-0161 1.2024713949583926e-12 1.256981930671874e-12 -1.7652468381527782 23476605.742430955
0676-52178-0625 2.5035415687057066e-13 2.645410249475215e-13 -0.8692800790432568 4580.005143751847
0379-51789-0223 5.295797211754799e-13 5.451427237173401e-13 -1.4902277978959249 1248221.888925168
0378-52146-0467 1.2190328799647192e-12 1.2877860721413467e-12 -1.4820833600984389 2697962.00751697
1901-53261-0166 1.8383751458874023e-13 1.963016243770685e-13 -1.7688022655628006 3688100.631664238
1901-53261-0378 3.3046376113734226e-13 3.5277192426101244e-13 -1.6154568187835965 2045404.082062753
0677-52606-0365 5.314518060555029e-13 5.655015928958504e-13 -1.439396741887186 845370.4833730506
1901-53261-0086 2.525812753411329e-13 2.6933994587329e-13 -1.4483824477796654 430723.34901301283
0378-52146-0179 4.921376993742638e-13 5.231574888105985e-13 -1.4462396328193277 825429.0285996079
0378-52146-0019 3.2986007043204967e-13 3.458367481508829e-13 -1.1609218906236605 60006.20869524864
0676-52178-0291 4.834539234648008e-13 5.145792878058936e-13 -1.1964649520184076 116145.05415017753
0401-51788-0287 1.3803835233098818e-12 1.4408771851783896e-12 -1.9198314331174549 87607579.4149716
0400-51820-0021 5.34983893829972e-13 5.503805581974587e-13 -1.3809125090354766 540768.7559126193
0400-51820-0514 1.4842842827694561e-12 1.5628662780069522e-12 -1.5660287513158277 6279403.7168392865
1077-52644-0400 5.266744228190163e-13 5.723690885683083e-13 -1.1221438031957098 70703.3492457869
0398-51789-0013 6.352082819355012e-13 6.65824721570348e-13 -1.653584992380676 5270269.195117689
0697-52226-0226 2.932278305147462e-13 3.077781283365587e-13 -1.0553657483658745 23300.414100370122
